x
1	7 Sp8
2	8 Sp8
3	9 Sp8
4	10 Sp8
5	10 Sp15
6	11 Sp8
7	11 Sp9
8	13 Sp8
9	13 Sp11
10	14 Sp8
11	15 Sp8
12	16 Sp8
13	17 Sp8
14	18 Sp8
15	19 Sp0
16	19 Sp8
17	21 Sp8
18	21 Sp14
19	22 Sp8
20	23 Sp0
21	24 Sp0
22	25 Sp0
23	26 Sp8
24	27 Sp0
25	27 Sp8
26	29 Sp8
27	30 Sp8
28	31 Sp0
29	31 Sp8
30	32 Sp0
31	32 Sp8
32	33 Sp0
33	33 Sp8
34	34 Sp0
35	34 Sp8
36	35 Sp8
37	37 Sp0
38	38 Sp8
39	39 Sp8
40	40 Sp0
41	40 Sp8
42	41 Sp8
43	42 Sp8
44	43 Sp8
45	44 Sp8
46	48 Sp12
47	48 Sp13
48	49 Sp12
49	49 Sp13
50	50 Sp12
51	51 Sp12
52	51 Sp21
53	51 Sp24
54	52 Sp9
55	53 Sp9
56	54 Sp8
57	56 Sp8
58	56 Sp14
59	57 Sp0
60	57 Sp9
61	58 Sp8
62	58 Sp10
63	60 Sp0
64	60 Sp8
65	61 Sp0
66	62 Sp0
67	64 Sp0
68	64 Sp8
69	65 Sp0
70	66 Sp0
71	67 Sp0
72	67 Sp8
73	68 Sp0
74	69 Sp8
75	70 Sp8
76	72 Sp8
77	73 Sp8
78	74 Sp0
79	75 Sp0
80	76 Sp0
81	77 Sp0
82	77 Sp8
83	78 Sp0
84	79 Sp8
85	80 Sp8
86	80 Sp18
87	81 Sp8
88	82 Sp8
89	84 Sp8
90	85 Sp8
91	86 Sp8
92	87 Sp0
93	90 Sp0
94	92 Sp0
95	92 Sp8
96	93 Sp8
97	94 Sp0
98	94 Sp8
99	95 Sp0
100	95 Sp8
101	96 Sp0
102	97 Sp0
103	98 Sp8
104	98 Sp18
105	99 Sp8
106	100 Sp8
107	100 Sp16
108	101 Sp8
109	102 Sp8
110	103 Sp0
111	104 Sp8
112	105 Sp0
113	105 Sp10
114	106 Sp8
115	107 Sp8
116	108 Sp0
117	108 Sp8
118	109 Sp0
119	110 Sp8
120	111 Sp8
121	112 Sp8
122	113 Sp0
123	114 Sp0
124	115 Sp0
125	115 Sp8
126	116 Sp8
127	119 Sp8
128	119 Sp14
129	120 Sp8
130	120 Sp14
131	121 Sp8
132	121 Sp14
133	122 Sp8
134	123 Sp10
135	126 Sp8
136	126 Sp14
137	126 Sp16
138	127 Sp8
139	128 Sp0
140	129 Sp0
141	130 Sp8
142	131 Sp8
143	132 Sp0
144	133 Sp10
145	134 Sp0
146	134 Sp8
147	136 Sp0
148	136 Sp8
149	137 Sp0
150	138 Sp0
151	140 Sp0
152	140 Sp8
153	141 Sp8
154	142 Sp8
155	144 Sp8
156	144 Sp14
157	145 Sp0
158	146 Sp0
159	147 Sp0
160	148 Sp0
161	148 Sp8
162	152 Sp8
163	152 Sp14
164	153 Sp0
165	153 Sp8
166	153 Sp23
167	154 Sp0
168	154 Sp8
169	155 Sp8
170	156 Sp8
171	158 Sp8
172	159 Sp8
173	159 Sp14
174	161 Sp8
175	162 Sp8
176	162 Sp14
177	163 Sp8
178	164 Sp0
179	164 Sp8
180	165 Sp0
181	166 Sp0
182	167 MDPLys
183	168 Sp8
184	169 Sp8
185	170 Sp8
186	171 Sp8
187	173 Sp8
188	176 Sp8
189	176 Sp14
190	177 Sp8
191	178 Sp8
192	179 Sp8
193	180 Sp8
194	181 Sp8
195	182 Sp8
196	184 Sp8
197	185 Sp8
198	186 Sp8
199	187 Sp8
200	188 Sp0
201	189 Sp0
202	190 Sp9
203	191 Sp9
204	192 Sp9
205	195 Sp12
206	197 Sp12
207	198 Sp12
208	199 Sp9
209	200 Sp9
210	203 Sp12
211	205 Sp12
212	208 Sp0
213	210 Sp0
214	211 Sp8
215	212 Sp0
216	213 Sp8
217	216 Sp0
218	220 Sp8
219	220 Sp14
220	221 Sp0
221	223 Sp0
222	224 Sp0
223	225 Sp0
224	227 Sp8
225	229 Sp8
226	230 Sp0
227	230 Sp8
228	231 Sp0
229	232 Sp0
230	233 Sp8
231	234 Sp8
232	235 Sp0
233	236 Sp8
234	237 Sp8
235	238 Sp0
236	240 Sp8
237	243 Sp8
238	244 Sp8
239	244 Sp14
240	245 Sp8
241	246 Sp0
242	247 Sp0
243	248 Sp0
244	249 Sp0
245	249 Sp8
246	250 Sp8
247	251 Sp8
248	252 Sp0
249	253 Sp0
250	253 Sp8
251	254 Sp8
252	255 Sp8
253	257 Sp0
254	258 Sp0
255	258 Sp8
256	259 Sp0
257	260 Sp0
258	261 Sp0
259	261 Sp8
260	263 Sp8
261	264 Sp0
262	267 Sp8
263	268 Sp0
264	268 Sp8
265	269 Sp0
266	270 Sp0
267	271 Sp0
268	271 Sp8
269	272 Sp8
270	273 Sp8
271	274 Sp0
272	275 Sp0
273	277 Sp8
274	278 Sp8
275	280 Sp0
276	281 Sp0
277	282 Sp0
278	283 Sp0
279	284 Sp0
280	285 Sp0
281	286 Sp0
282	287 Sp8
283	295 Sp14
284	297 Sp0
285	298 Sp0
286	299 Sp0
287	300 Sp0
288	301 Sp0
289	302 Sp0
290	303 Sp0
291	305 Sp0
292	306 Sp0
293	307 Sp10
294	311 Sp14
295	312 Sp8
296	313 Sp12
297	314 Sp0
298	315 Sp0
299	316 Sp0
300	317 Sp0
301	320 Sp8
302	321 Sp8
